keyword,volume,difficulty,cpc,competitor,their_position,their_url
how to stop procrastinating adhd,2400,28,1.2,additudemag.com,1,https://www.additudemag.com/how-to-stop-procrastinating-adhd/
how to stop procrastinating adhd,2400,28,1.2,healthline.com,2,https://www.healthline.com/health/adhd/adhd-procrastination
how to stop procrastinating adhd,2400,28,1.2,additudemag.com,4,https://www.additudemag.com/what-is-adhd-symptoms-causes-treatments/
adhd procrastination,1900,31,1.2,additudemag.com,1,https://www.additudemag.com/how-to-stop-procrastinating-adhd/
adhd procrastination,1900,31,1.2,healthline.com,2,https://www.healthline.com/health/adhd/adhd-procrastination
adhd procrastination,1900,31,1.2,additudemag.com,4,https://www.additudemag.com/what-is-adhd-symptoms-causes-treatments/
adhd task paralysis,880,24,1.2,additudemag.com,1,https://www.additudemag.com/how-to-stop-procrastinating-adhd/
adhd task paralysis,880,24,1.2,healthline.com,2,https://www.healthline.com/health/adhd/adhd-procrastination
adhd task paralysis,880,24,1.2,additudemag.com,4,https://www.additudemag.com/what-is-adhd-symptoms-causes-treatments/
why do i procrastinate adhd,320,19,1.2,additudemag.com,1,https://www.additudemag.com/how-to-stop-procrastinating-adhd/
why do i procrastinate adhd,320,19,1.2,healthline.com,2,https://www.healthline.com/health/adhd/adhd-procrastination
why do i procrastinate adhd,320,19,1.2,additudemag.com,4,https://www.additudemag.com/what-is-adhd-symptoms-causes-treatments/
best to do list apps,1600,33,1.2,zapier.com,1,https://zapier.com/blog/best-todo-list-apps/
best to do list apps,1600,33,1.2,en.wikipedia.org,5,https://en.wikipedia.org/wiki/Time_management
best to do list apps,1600,33,1.2,ahrefs.com,7,https://ahrefs.com/seo/seo-basics
task management tools,900,30,1.2,zapier.com,1,https://zapier.com/blog/best-todo-list-apps/
task management tools,900,30,1.2,en.wikipedia.org,5,https://en.wikipedia.org/wiki/Time_management
task management tools,900,30,1.2,ahrefs.com,7,https://ahrefs.com/seo/seo-basics
to do list app comparison,210,18,1.2,zapier.com,1,https://zapier.com/blog/best-todo-list-apps/
to do list app comparison,210,18,1.2,en.wikipedia.org,5,https://en.wikipedia.org/wiki/Time_management
to do list app comparison,210,18,1.2,ahrefs.com,7,https://ahrefs.com/seo/seo-basics
adhd test,74000,79,1.2,additudemag.com,1,https://www.additudemag.com/what-is-adhd-symptoms-causes-treatments/
obscure long tail nobody ranks,5,8,1.2,additudemag.com,44,https://www.additudemag.com/how-to-stop-procrastinating-adhd/
